	model	type	target_class	precision	recall	f1
0	/home/ahatfield/finalproject/combined_distilbert_model_user	bot	bot	1.0	0.3676	0.5375840889148874
1	/home/ahatfield/finalproject/combined_distilbert_model_user	human	human	1.0	0.9084	0.9520016767973172
2	/home/ahatfield/finalproject/combined_distilbert_model_user	nonpolitical	bot	1.0	0.693	0.8186650915534555
3	/home/ahatfield/finalproject/combined_distilbert_model_user	political	bot	1.0	0.7906	0.8830559588964593
4	/home/ahatfield/finalproject/combined_distilgpt_model_user	bot	bot	1.0	0.333	0.49962490622655664
5	/home/ahatfield/finalproject/combined_distilgpt_model_user	human	human	1.0	0.9042	0.9496901585967861
6	/home/ahatfield/finalproject/combined_distilgpt_model_user	nonpolitical	bot	1.0	0.7048	0.8268418582824965
7	/home/ahatfield/finalproject/combined_distilgpt_model_user	political	bot	1.0	0.4494	0.6201186697943977
8	/home/ahatfield/finalproject/nonpolitical_distilbert_model_user	bot	bot	1.0	0.3542	0.5231132772116379
9	/home/ahatfield/finalproject/nonpolitical_distilbert_model_user	human	human	1.0	0.9096	0.9526602429828236
10	/home/ahatfield/finalproject/nonpolitical_distilbert_model_user	nonpolitical	bot	1.0	0.6686	0.8013903871509049
11	/home/ahatfield/finalproject/nonpolitical_distilbert_model_user	political	bot	1.0	0.7176	0.8355845365626455
12	/home/ahatfield/finalproject/nonpolitical_distilgpt_model_user	bot	bot	1.0	0.37	0.5401459854014599
13	/home/ahatfield/finalproject/nonpolitical_distilgpt_model_user	human	human	1.0	0.9018	0.9483647071195709
14	/home/ahatfield/finalproject/nonpolitical_distilgpt_model_user	nonpolitical	bot	1.0	0.713	0.8324576765907764
15	/home/ahatfield/finalproject/nonpolitical_distilgpt_model_user	political	bot	1.0	0.7242	0.8400417584966942
16	/home/ahatfield/finalproject/political_distilbert_model_user	bot	bot	1.0	0.384	0.5549132947976878
17	/home/ahatfield/finalproject/political_distilbert_model_user	human	human	1.0	0.8976	0.9460370994940978
18	/home/ahatfield/finalproject/political_distilbert_model_user	nonpolitical	bot	1.0	0.7374	0.8488546103372856
19	/home/ahatfield/finalproject/political_distilbert_model_user	political	bot	1.0	0.834	0.9094874591057798
20	/home/ahatfield/finalproject/political_distilgpt_model_user	bot	bot	1.0	0.407	0.5785358919687278
21	/home/ahatfield/finalproject/political_distilgpt_model_user	human	human	1.0	0.893	0.9434759640781828
22	/home/ahatfield/finalproject/political_distilgpt_model_user	nonpolitical	bot	1.0	0.7382	0.8493844206650558
23	/home/ahatfield/finalproject/political_distilgpt_model_user	political	bot	1.0	0.726	0.8412514484356894
